epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, Si_f_mae, psavg_f_mae, Si_f_rmse, psavg_f_rmse, e_mae, e/N_mae
   45,     9,       0.00044085,        0.0004407,       1.4923e-07,         0.014661,         0.019026,         0.014661,         0.014661,         0.019026,         0.019026,         0.021653,       0.00033833
   45,    10,       0.00057934,       0.00057721,       2.1288e-06,         0.016373,         0.021774,         0.016373,         0.016373,         0.021774,         0.021774,         0.082417,        0.0012878
   45,    11,       0.00044947,       0.00044674,       2.7221e-06,         0.014643,         0.019156,         0.014643,         0.014643,         0.019156,         0.019156,         0.094612,        0.0014783
   45,    12,        0.0003905,       0.00039045,       5.6499e-08,          0.01373,         0.017908,          0.01373,          0.01373,         0.017908,         0.017908,         0.012971,       0.00020268
   45,    13,       0.00046676,        0.0004656,       1.1611e-06,         0.015539,         0.019556,         0.015539,         0.015539,         0.019556,         0.019556,         0.061769,       0.00096515
   45,    14,       0.00041175,        0.0004107,       1.0456e-06,          0.01436,         0.018367,          0.01436,          0.01436,         0.018367,         0.018367,         0.058457,       0.00091338
   45,    15,         0.000542,       0.00054185,       1.5328e-07,         0.016284,         0.021097,         0.016284,         0.016284,         0.021097,         0.021097,         0.022289,       0.00034826
   45,    16,        0.0003394,       0.00033916,       2.4546e-07,          0.01176,         0.016691,          0.01176,          0.01176,         0.016691,         0.016691,         0.019747,       0.00030855
   46,     1,       0.00044033,       0.00044028,       4.2529e-08,         0.014503,         0.019017,         0.014503,         0.014503,         0.019017,         0.019017,        0.0090908,       0.00014204
   46,     2,        0.0004828,       0.00048258,       2.1955e-07,         0.015303,         0.019909,         0.015303,         0.015303,         0.019909,         0.019909,         0.023728,       0.00037075
   46,     3,        0.0005271,       0.00052639,       7.1021e-07,         0.015946,         0.020793,         0.015946,         0.015946,         0.020793,         0.020793,         0.042742,       0.00066785
   46,     4,       0.00074351,       0.00074204,       1.4714e-06,         0.018099,         0.024688,         0.018099,         0.018099,         0.024688,         0.024688,          0.06994,        0.0010928
   46,     5,        0.0004429,        0.0004419,       9.9995e-07,         0.014895,         0.019052,         0.014895,         0.014895,         0.019052,         0.019052,         0.057269,       0.00089483
   46,     6,       0.00065594,        0.0006557,       2.3814e-07,         0.018096,         0.023207,         0.018096,         0.018096,         0.023207,         0.023207,         0.024694,       0.00038585
   46,     7,       0.00061477,       0.00061304,        1.722e-06,         0.017193,          0.02244,         0.017193,         0.017193,          0.02244,          0.02244,          0.07215,        0.0011273
   46,     8,       0.00045145,       0.00045069,       7.6428e-07,         0.014941,          0.01924,         0.014941,         0.014941,          0.01924,          0.01924,         0.048323,       0.00075505
   46,     9,       0.00030585,       0.00030569,       1.5866e-07,         0.011044,         0.015846,         0.011044,         0.011044,         0.015846,         0.015846,         0.019162,       0.00029941
   46,    10,       0.00060761,       0.00060747,       1.3815e-07,         0.016871,         0.022337,         0.016871,         0.016871,         0.022337,         0.022337,         0.018975,       0.00029648
   46,    11,       0.00046081,       0.00046081,       3.0879e-09,         0.014892,         0.019455,         0.014892,         0.014892,         0.019455,         0.019455,        0.0028723,       4.4879e-05
   46,    12,       0.00048644,       0.00048613,       3.1507e-07,         0.015317,         0.019982,         0.015317,         0.015317,         0.019982,         0.019982,         0.029545,       0.00046164
   46,    13,       0.00041303,       0.00041293,       9.2857e-08,         0.014188,         0.018417,         0.014188,         0.014188,         0.018417,         0.018417,         0.015937,       0.00024902
   46,    14,       0.00042673,       0.00042647,       2.5866e-07,         0.014628,         0.018716,         0.014628,         0.014628,         0.018716,         0.018716,          0.02692,       0.00042063
   46,    15,       0.00051592,       0.00051482,       1.0968e-06,         0.015983,         0.020564,         0.015983,         0.015983,         0.020564,         0.020564,         0.060094,       0.00093897
   46,    16,       0.00047303,       0.00047268,       3.4732e-07,         0.015259,         0.019704,         0.015259,         0.015259,         0.019704,         0.019704,         0.031578,       0.00049341
   47,     1,       0.00050842,       0.00050832,       9.0884e-08,         0.015892,         0.020433,         0.015892,         0.015892,         0.020433,         0.020433,         0.015861,       0.00024783
   47,     2,       0.00036762,       0.00036753,       9.4806e-08,         0.013235,         0.017375,         0.013235,         0.013235,         0.017375,         0.017375,         0.015477,       0.00024182
   47,     3,       0.00056745,       0.00056727,       1.8007e-07,         0.015913,         0.021586,         0.015913,         0.015913,         0.021586,         0.021586,         0.021076,       0.00032932
   47,     4,       0.00031524,       0.00031512,       1.2707e-07,         0.011234,         0.016088,         0.011234,         0.011234,         0.016088,         0.016088,         0.014657,       0.00022902
   47,     5,       0.00055694,       0.00055673,       2.0992e-07,         0.016451,         0.021384,         0.016451,         0.016451,         0.021384,         0.021384,         0.023744,         0.000371
   47,     6,         0.000487,       0.00048675,        2.458e-07,         0.015373,         0.019995,         0.015373,         0.015373,         0.019995,         0.019995,         0.025298,       0.00039528
